symbol,timestamp,open,high,low,close,volume,amount,source_freq
600519.SH,2026-06-24 10:20:00,1216.55,1216.59,1212.92,1212.92,151324,183892163.0,5min
600519.SH,2026-06-24 10:25:00,1213.0,1213.22,1209.64,1209.65,173000,209597949.0,5min
600519.SH,2026-06-24 10:30:00,1209.54,1212.0,1209.11,1211.98,71688,86783721.0,5min
600519.SH,2026-06-24 10:35:00,1211.67,1212.13,1210.2,1211.11,71100,86114359.0,5min
600519.SH,2026-06-24 10:40:00,1211.99,1212.84,1210.16,1210.91,64101,77652977.0,5min
600519.SH,2026-06-24 10:45:00,1210.91,1211.28,1210.2,1211.08,57708,69858727.0,5min
600519.SH,2026-06-24 10:50:00,1212.0,1214.01,1212.0,1213.34,53890,65368167.0,5min
600519.SH,2026-06-24 10:55:00,1214.3,1214.3,1212.17,1213.92,45499,55204556.0,5min
600519.SH,2026-06-24 11:00:00,1214.98,1218.0,1213.61,1217.2,56110,68224056.0,5min
600519.SH,2026-06-24 11:05:00,1217.21,1218.15,1214.56,1217.0,44500,54139800.0,5min
600519.SH,2026-06-24 11:10:00,1217.8,1219.89,1217.05,1217.08,43600,53127705.0,5min
600519.SH,2026-06-24 11:15:00,1217.08,1217.52,1216.0,1216.0,30700,37359907.0,5min
600519.SH,2026-06-24 11:20:00,1216.0,1216.18,1215.0,1215.37,20100,24431418.0,5min
600519.SH,2026-06-24 11:25:00,1215.37,1215.6,1214.01,1214.76,25800,31347970.0,5min
600519.SH,2026-06-24 11:30:00,1214.76,1216.13,1214.27,1216.06,31000,37666603.0,5min
600519.SH,2026-06-24 13:05:00,1215.59,1218.88,1213.14,1213.7,95500,116087716.0,5min
600519.SH,2026-06-24 13:10:00,1213.87,1213.87,1211.5,1211.81,72400,87799571.0,5min
600519.SH,2026-06-24 13:15:00,1211.66,1212.9,1211.6,1211.66,61711,74790745.0,5min
600519.SH,2026-06-24 13:20:00,1211.65,1212.13,1210.18,1210.47,75700,91666065.0,5min
600519.SH,2026-06-24 13:25:00,1210.32,1210.78,1210.02,1210.1,77694,94038384.0,5min
600519.SH,2026-06-24 13:30:00,1210.1,1211.46,1209.6,1209.62,155406,188049391.0,5min
600519.SH,2026-06-24 13:35:00,1209.6,1209.61,1208.08,1208.22,113500,137227359.0,5min
600519.SH,2026-06-24 13:40:00,1208.18,1209.27,1208.11,1209.23,55100,66611288.0,5min
600519.SH,2026-06-24 13:45:00,1209.12,1209.31,1209.0,1209.25,44400,53685462.0,5min
600519.SH,2026-06-24 13:50:00,1209.25,1209.41,1208.65,1208.65,89900,108694041.0,5min
600519.SH,2026-06-24 13:55:00,1208.6,1210.29,1208.56,1208.98,54800,66277174.0,5min
600519.SH,2026-06-24 14:00:00,1209.14,1209.99,1208.71,1208.89,54100,65410590.0,5min
600519.SH,2026-06-24 14:05:00,1209.2,1210.08,1208.7,1208.79,59925,72449330.0,5min
600519.SH,2026-06-24 14:10:00,1208.7,1209.0,1207.65,1207.7,139075,168034758.0,5min
600519.SH,2026-06-24 14:15:00,1207.69,1208.9,1207.58,1207.78,73571,88868042.0,5min
600519.SH,2026-06-24 14:20:00,1207.78,1207.85,1207.54,1207.6,75000,90575800.0,5min
600519.SH,2026-06-24 14:25:00,1207.6,1207.85,1207.6,1207.73,62255,75188237.0,5min
600519.SH,2026-06-24 14:30:00,1207.72,1209.94,1207.72,1208.87,57700,69708527.0,5min
600519.SH,2026-06-24 14:35:00,1208.8,1209.82,1208.0,1208.08,69200,83629407.0,5min
600519.SH,2026-06-24 14:40:00,1208.1,1208.4,1207.81,1207.81,74350,89814521.0,5min
600519.SH,2026-06-24 14:45:00,1207.82,1207.98,1207.71,1207.91,82200,99281633.0,5min
600519.SH,2026-06-24 14:50:00,1207.93,1207.99,1207.81,1207.96,75894,91672619.0,5min
600519.SH,2026-06-24 14:55:00,1207.95,1208.03,1207.92,1207.98,111429,134604994.0,5min
600519.SH,2026-06-24 15:00:00,1207.96,1208.17,1207.68,1207.68,135284,163395446.0,5min
600519.SH,2026-06-25 09:35:00,1207.0,1207.51,1200.11,1204.9,411950,496116278.0,5min
600519.SH,2026-06-25 09:40:00,1206.0,1206.13,1200.0,1201.33,224672,270064744.0,5min
600519.SH,2026-06-25 09:45:00,1201.33,1207.49,1201.33,1207.0,172294,207493722.0,5min
600519.SH,2026-06-25 09:50:00,1207.34,1207.71,1201.0,1201.03,128640,154964327.0,5min
600519.SH,2026-06-25 09:55:00,1201.03,1203.01,1200.09,1200.09,144130,173123819.0,5min
600519.SH,2026-06-25 10:00:00,1200.08,1202.39,1200.08,1200.56,127833,153504718.0,5min
600519.SH,2026-06-25 10:05:00,1200.7,1205.98,1200.7,1205.2,103990,125188722.0,5min
600519.SH,2026-06-25 10:10:00,1205.02,1206.93,1204.3,1206.93,101700,122660941.0,5min
600519.SH,2026-06-25 10:15:00,1206.94,1207.09,1203.01,1203.93,67000,80726391.0,5min
600519.SH,2026-06-25 10:20:00,1204.98,1204.98,1202.0,1203.46,91032,109511775.0,5min
600519.SH,2026-06-25 10:25:00,1204.05,1209.79,1203.02,1203.02,132400,159814173.0,5min
600519.SH,2026-06-25 10:30:00,1203.0,1208.8,1202.94,1204.66,68420,82578099.0,5min
600519.SH,2026-06-25 10:35:00,1204.1,1205.0,1203.0,1203.92,64050,77091580.0,5min
600519.SH,2026-06-25 10:40:00,1204.98,1215.0,1204.01,1214.96,182300,220788496.0,5min
600519.SH,2026-06-25 10:45:00,1215.06,1222.0,1215.06,1216.0,289392,352897371.0,5min
600519.SH,2026-06-25 10:50:00,1215.47,1220.12,1214.0,1220.12,102340,124496436.0,5min
600519.SH,2026-06-25 10:55:00,1220.2,1226.99,1220.0,1220.51,229221,280383050.0,5min
600519.SH,2026-06-25 11:00:00,1220.44,1224.19,1220.0,1222.57,113080,138169508.0,5min
600519.SH,2026-06-25 11:05:00,1222.25,1222.92,1217.39,1217.39,88006,107391761.0,5min
