symbol,name,industry,is_cycle_stock,notes,total_mv,circ_mv,amount,list_date,list_days,asof_date,universe_method,bias_notes
300015.SZ,爱尔眼科,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7721400.0,6587000.0,783524.697,20091030,6082,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
603228.SH,景旺电子,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7645400.0,7575100.0,4016703.251,20170106,3457,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
000301.SZ,东方盛虹,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7629400.000000001,7625800.0,280382.533,20000529,9523,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601838.SH,成都银行,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7599500.0,7599500.0,436320.455,20180131,3067,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
301165.SZ,锐捷网络,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7485900.0,7485900.0,807141.49,20221121,1312,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
300373.SZ,扬杰科技,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7468300.0,7451700.0,4859848.376,20140123,4536,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
002185.SZ,华天科技,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7444500.0,7442700.0,12077445.308999998,20071120,6792,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
002049.SZ,紫光国微,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7434299.999999999,7433300.0,5682868.523,20050606,7689,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
300316.SZ,晶盛机电,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7396200.0,6955800.0,2176772.983,20120511,5158,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600482.SH,中国动力,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7394500.0,7394500.0,963567.1869999999,20040714,8016,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
